Postcode,City,Section,Buyertype,#N/A
3511,KURINGEN,MM,Volwassene,
3511,KURINGEN,MM,Volwassene,
3511,KURINGEN,MM,Volwassene,
3740,WALTWILDER,PP,Scheids. +18,
3600,GENK,Z5,Volwassene,
3960,BREE,BB,Volwassene,
3670,Oudsbergen,II,Volwassene,
3840,BORGLOON,O,Volwassene,
3840,BORGLOON,O,Volwassene,
3660,Oudsbergen,MM,Volwassene,
3582,Koersel,PP,Volwassene,
3570,ALKEN,D,Volwassene,
3545,HALEN,Z4,Volwassene,
3630,Maasmechelen,I,Volwassene,
2490,BALEN,JJ,Volwassene,
3740,MUNSTERBILZEN,H,Volwassene,
3770,VAL-MEER,JJ,Volwassene,
3770,VAL-MEER,JJ,Volwassene,
3640,KINROOI,Z4,Volwassene,
3640,KINROOI,Z4,Volwassene,
3680,Maaseik,CL3,Volwassene,
3680,MAASEIK,CL3,Volwassene,
3550,Zolder,QQ,Volwassene,
3720,KORTESSEM,LL,Volwassene,
3740,Bilzen,LL,Minder validen,
3530,Helchteren,CL4,Volwassene,
3600,GENK,E,Volwassene,
3680,Neeroeteren,S,Volwassene,
3600,Genk,E,Volwassene,
3680,Neeroeteren,S,Volwassene,
3650,Dilsen-Stokkem,SS,Volwassene,
3530,HOUTHALEN,Z3,Volwassene,
3600,GENK,C,Volwassene,
1150,SINT-PIETERS-WOLUWE,Z8,Volwassene,
1150,SINT-PIETERS-WOLUWE,Z8,Volwassene,
3680,MAASEIK,PP,Volwassene,
3660,Oudsbergen,H,Volwassene,
3520,ZONHOVEN,KK,Volwassene,
3590,diepenbeek,Z5,Jongeren -18,
3630,Maasmechelen,CL3,Volwassene,
3001,HEVERLEE,I,Volwassene,
3001,HEVERLEE,I,Volwassene,
3668,NIEL-BIJ-AS,K,Volwassene,
3600,Genk,II,Volwassene,
3690,ZUTENDAAL,II,Volwassene,
 3620,Kesselt,JJ,Volwassene,
3600,GENK,CC,Volwassene,
3600,Genk,KK,Volwassene,
3630,Mechelen-aan-de-maas,II,Volwassene,
3680,Opoeteren,JJ,Volwassene,
3590,Diepenbeek,JJ,Volwassene,
3665,AS,T,Volwassene,
3740,EIGENBILZEN,L,Volwassene,
3510,KERMT,JJ,Volwassene,
3690,ZUTENDAAL,RR,Volwassene,
3960,BREE,H,Volwassene,
3960,BREE,H,Volwassene,
3582,KOERSEL,S,Volwassene,
3960,BREE,H,Volwassene,
3960,BREE,H,Volwassene,
3600,Genk,MM,Volwassene,
3600,GENK,MM,Volwassene,
3630,MECHELEN-AAN-DE-MAAS,B,Volwassene,
3900,OVERPELT,I,Volwassene,
3520,Zonhoven,RR,Volwassene,
3520,Zonhoven,RR,Volwassene,
3680,Neeroeteren,II,Volwassene,
3600,GENK,L,Minder validen,
3500,Hasselt,M,Volwassene,
3590,DIEPENBEEK,J,Minder validen,
3600,GENK,CL3,Volwassene,
3680,NEEROETEREN,Z7,Volwassene,
3680,NEEROETEREN,Z7,Volwassene,
3500,HASSELT,I,Volwassene,
3150,WESPELAAR,CC,Volwassene,
3150,HAACHT,CC,Volwassene,
3600,GENK,Z2,Volwassene,
3668,NIEL-BIJ-AS,JJ,Volwassene,
3668,Niel-bij-as,JJ,Volwassene,
3740,MOPERTINGEN,J,Volwassene,
3740,MOPERTINGEN,J,Volwassene,
3660,Oudsbergen,Z8,Volwassene,
3665,AS,Q1,Volwassene,
3720,Kortessem,CL2,Volwassene,
3730,Sint-huibrechts-hern,CL2,Volwassene,
3600,GENK,H,Minder validen,
3600,GENK,H,Volwassene,
3740,Beverst,CL3,Volwassene,
3740,Beverst,CL3,Volwassene,
3950,KAULILLE,R,Volwassene,
3930,Hamont,JJ,Volwassene,
3910,NEERPELT,K,Volwassene,
3680,NEEROETEREN,I,Volwassene,
3600,Genk,CL3,Volwassene,
3600,Genk,CL3,Volwassene,
3600,Genk,I,Volwassene,
3600,GENK,C,Volwassene,
3960,Bree,LL,Volwassene,
3550,ZOLDER,I,Volwassene,
3550,ZOLDER,I,Volwassene,
3530,HELCHTEREN,I,Volwassene,
3630,Eisden,JJ,Volwassene,
3690,Zutendaal,I,Minder validen,
3960,Bree,I,Minder validen,
3520,ZONHOVEN,JJ,Volwassene,
3530,HOUTHALEN,JJ,Minder validen,
9031,DRONGEN,JJ,Volwassene,
3630,EISDEN,JJ,Volwassene,
3630,maasmechelen,JJ,Volwassene,
3990,Peer,I,Volwassene,
3600,GENK,R,Volwassene,
3660,Oudsbergen,II,Volwassene,
3660,Oudsbergen,II,Volwassene,
3510,SPALBEEK,J,Volwassene,
3960,BREE,II,Volwassene,
3510,SPALBEEK,J,Volwassene,
3680,Neeroeteren,JJ,Volwassene,
3680,NEEROETEREN,JJ,Volwassene,
3840,Broekom,J,Volwassene,
3620,LANAKEN,H,Volwassene,
3730,Romershoven,CL2,Minder validen,
3500,HASSELT,OO,Volwassene,
3660,Oudsbergen,CL4,Volwassene,
3511,KURINGEN,J,Volwassene,
3550,Heusden,Z4,Volwassene,
3583,PAAL,J,Volwassene,
3660,Oudsbergen,JJ,Volwassene,
3600,GENK,II,Volwassene,
3600,GENK,II,Volwassene,
3500,Hasselt,J,Volwassene,
3620,LANAKEN,Z3,Volwassene,
3620,LANAKEN,Z3,Volwassene,
3620,LANAKEN,Z3,Volwassene,
3500,HASSELT,J,Volwassene,
3740,Bilzen,J,Volwassene,
3600,GENK,H,Volwassene,
3590,Diepenbeek,H,Volwassene,
3590,DIEPENBEEK,JJ,Volwassene,
3680,Opoeteren,EE,NA Volw.,
3660,Oudsbergen,R,Volwassene,
3600,GENK,I,Volwassene,
3600,GENK,R,Volwassene,
3600,GENK,M,NA Volw.,
3560,LUMMEN,QQ,Volwassene,
3530,HOUTHALEN,M,Volwassene,
3960,BREE,FF,Volwassene,
3500,Hasselt,R,Volwassene,
3600,GENK,II,Volwassene,
3740,Bilzen,CL2,Volwassene,
3650,DILSEN-STOKKEM,II,Volwassene,
3600,GENK,Z4,Volwassene,
3630,Mechelen-aan-de-maas,I,Minder validen,
3590,DIEPENBEEK,II,Volwassene,
3600,GENK,II,Volwassene,
3600,GENK,C,Minder validen,
3511,KURINGEN,R,Volwassene,
3680,Maaseik,I,Volwassene,
3600,GENK,HH,Volwassene,
8940,Geluwe,TT,Volwassene,
3690,ZUTENDAAL,Z6,Volwassene,
3690,Zutendaal,L,Volwassene,
3910,Pelt,J,Volwassene,
3910,Pelt,J,Volwassene,
3910,NEERPELT,J,Volwassene,
3800,Sint-Truiden,Z1,Volwassene,
3510,spalbeek,Z1,Volwassene,
3600,GENK,JJ,Volwassene,
3650,DILSEN-STOKKEM,H,Volwassene,
9968,OOSTEEKLO,I,Volwassene,
3660,Oudsbergen,JJ,Volwassene,
3660,Oudsbergen,JJ,Volwassene,
3660,Oudsbergen,J,Minder validen,
3660,Oudsbergen,H,Volwassene,
3660,Oudsbergen,H,Volwassene,
3520,ZONHOVEN,JJ,Volwassene,
3950,Kaulille,HH,Volwassene,
3520,ZONHOVEN,JJ,Volwassene,
3530,HELCHTEREN,JJ,Volwassene,
3530,HELCHTEREN,JJ,Volwassene,
3600,Genk,KK,Volwassene,
3600,GENK,CL1,Volwassene,
3665,AS,SS,Volwassene,
3545,HALEN,QQ,Volwassene,
3545,HALEN,QQ,Volwassene,
3520,ZONHOVEN,M,Volwassene,
3520,ZONHOVEN,M,Volwassene,
3621,REKEM,LL,Volwassene,
3621,REKEM,LL,Volwassene,
3621,REKEM,LL,Volwassene,
3600,GENK,Z1,Volwassene,
3600,GENK,Z1,Volwassene,
3600,Genk,Z4,Volwassene,
3600,GENK,UU,Volwassene,
3600,GENK,K,Volwassene,
3640,KINROOI,II,Volwassene,
3680,Opoeteren,II,Volwassene,
3550,Zolder,JJ,Volwassene,
2560,nijlen,I,Volwassene,
3670,Oudsbergen,II,Volwassene,
3500,HASSELT,J,Volwassene,
3500,HASSELT,J,Volwassene,
3520,ZONHOVEN,JJ,Volwassene,
3600,GENK,K,Volwassene,
3600,GENK,II,Minder validen,
3620,LANAKEN,J,Volwassene,
3620,LANAKEN,J,Volwassene,
3660,Oudsbergen,II,Volwassene,
3660,Oudsbergen,II,Volwassene,
3690,Zutendaal,JJ,Volwassene,
3530,HOUTHALEN,I,Volwassene,
3293,KAGGEVINNE,N,Volwassene,
3980,TESSENDERLO,N,Volwassene,
3990,Peer,L,Volwassene,
3990,Peer,L,Volwassene,
3271,ZICHEM,CL1,Volwassene,
3620,LANAKEN,JJ,Volwassene,
3560,LUMMEN,I,Volwassene,
3560,Lummen,I,Volwassene,
3724,VLIERMAAL,CL3,Volwassene,
3724,VLIERMAAL,CL3,Volwassene,
3724,VLIERMAAL,CL3,Volwassene,
3724,VLIERMAAL,CL3,Volwassene,
3724,VLIERMAAL,CL3,Volwassene,
3724,VLIERMAAL,CL3,Jongeren -18,
3724,VLIERMAAL,CL3,Jongeren -18,
3950,Reppel,J,Scheids. +18,
3600,GENK,II,Volwassene,
3660,Oudsbergen,H,Volwassene,
3680,OPOETEREN,FF,Volwassene,
3660,Oudsbergen,Z6,Volwassene,
3920,LOMMEL,KK,Volwassene,
3920,Lommel,KK,Volwassene,
3600,Genk,I,Volwassene,
3500,Hasselt,I,Volwassene,
3500,Hasselt,I,Volwassene,
3660,Oudsbergen,UU,Volwassene,
3690,ZUTENDAAL,KK,Volwassene,
3690,ZUTENDAAL,KK,Volwassene,
3690,ZUTENDAAL,KK,Volwassene,
3520,Zonhoven,JJ,Volwassene,
3600,Genk,M,Volwassene,
3620,VELDWEZELT,M,Volwassene,
3740,Munsterbilzen,R,Volwassene,
3680,Maaseik,H,Volwassene,
3600,GENK,H,Volwassene,
3600,GENK,II,Volwassene,
3550,HEUSDEN,J,Volwassene,
3560,Lummen,J,Volwassene,
3600,GENK,II,Volwassene,
3600,GENK,II,Volwassene,
3530,HOUTHALEN-HELCHTEREN,F,Volwassene,
3600,GENK,M,Volwassene,
3770,RIEMST,QQ,Volwassene,
3740,BILZEN,II,Volwassene,
3600,Genk,Z6,Volwassene,
3600,GENK,CL3,Volwassene,
3700,TONGEREN,J,Volwassene,
3700,TONGEREN,J,Volwassene,
3500,HASSELT,K,Volwassene,
3600,GENK,II,Volwassene,
3600,GENK,CC,Volwassene,
3600,GENK,CC,Volwassene,
3530,Houthalen,I,Volwassene,
3530,HOUTHALEN,I,Volwassene,
3520,ZONHOVEN,I,Volwassene,
3640,Ophoven,OO,Volwassene,
3600,Genk,CL1,Volwassene,
3600,Genk,K,Volwassene,
3600,Genk,II,Volwassene,
3600,GENK,II,Volwassene,
3740,MUNSTERBILZEN,Z5,Volwassene,
3740,MUNSTERBILZEN,Z5,Volwassene,
2550,KONTICH,J,Volwassene,
3600,GENK,HH,Volwassene,
3950,bocholt,D,Volwassene,
3530,HOUTHALEN,I,Volwassene,
3530,HOUTHALEN,I,Volwassene,
3530,HOUTHALEN,I,Volwassene,
3530,HOUTHALEN,I,Volwassene,
3600,GENK,JJ,Volwassene,
3600,GENK,JJ,Volwassene,
3600,GENK,JJ,Volwassene,
3600,Genk,PP,Volwassene,
3665,As,KK,Volwassene,
3665,As,KK,Volwassene,
3680,OPOETEREN,HH,Volwassene,
3510,SPALBEEK,J,Volwassene,
3590,DIEPENBEEK,LL,Volwassene,
3770,RIEMST,R,Volwassene,
3510,KERMT,J,Volwassene,
3510,KERMT,J,Volwassene,
3740,BILZEN,HH,Volwassene,
3530,HOUTHALEN,II,Volwassene,
3600,GENK,II,Volwassene,
3720,Kortessem,D,Volwassene,
3600,GENK,Z5,Volwassene,
3590,DIEPENBEEK,II,Volwassene,
3630,EISDEN,RR,Volwassene,
3630,Eisden,RR,Volwassene,
3582,KOERSEL,J,Volwassene,
3730,HOESELT,H,Volwassene,
3600,GENK,H,Volwassene,
3740,Kleine-Spouwen,II,Volwassene,
3078,MEERBEEK,Z4,Volwassene,
2600,BERCHEM,Z4,Volwassene,
3600,GENK,JJ,Volwassene,
3600,GENK,JJ,Volwassene,
3500,Hasselt,Z4,Volwassene,
3960,BREE,HH,Minder validen,
3600,GENK,II,Volwassene,
3840,Borgloon,PP,Volwassene,
3582,Koersel,KK,Volwassene,
3740,Mopertingen,J,Volwassene,
3660,Oudsbergen,JJ,Volwassene,
3665,AS,Z8,Volwassene,
3665,AS,Z8,Volwassene,
3660,Oudsbergen,JJ,Volwassene,
3720,KORTESSEM,UU,Volwassene,
3700,TONGEREN,Z8,Volwassene,
3700,TONGEREN,Z8,Volwassene,
3700,TONGEREN,Z8,Volwassene,
3700,TONGEREN,Z8,Volwassene,
3700,TONGEREN,Z8,Volwassene,
3700,TONGEREN,Z8,Volwassene,
3700,TONGEREN,Z8,Volwassene,
3660,Oudsbergen,JJ,Volwassene,
3670,Oudsbergen,NN,Volwassene,
3600,GENK,II,Volwassene,
3668,Niel-bij-As,II,Volwassene,
3910,Pelt,J,Volwassene,
3600,GENK,BB,Volwassene,
3670,Oudsbergen,OO,Volwassene,
3950,KAULILLE,HH,Volwassene,
3600,GENK,JJ,Volwassene,
3600,GENK,JJ,Volwassene,
3600,GENK,JJ,Volwassene,
3600,GENK,JJ,Volwassene,
3670,Oudsbergen,I,Volwassene,
3600,GENK,I,Volwassene,
2430, Vorst Laakdal ,S,Volwassene,
3600,GENK,CL1,Volwassene,
3600,GENK,K,Volwassene,
3650,Dilsen-stokkem,Q1,Volwassene,
3680,NEEROETEREN,JJ,Volwassene,
3290,Diest,JJ,Volwassene,
3891,BUVINGEN,HH,Volwassene,
3840,JESSEREN,R,Volwassene,
3511,KURINGEN,HH,Volwassene,
3511,KURINGEN,HH,Volwassene,
3600,GENK,K,Volwassene,
3600,GENK,JJ,Volwassene,
3550,Heusden - Zolder,DD,Volwassene,
3665,AS,KK,Volwassene,
3945,Oostham,SS,Volwassene,
3530,HELCHTEREN,HH,Volwassene,
3500,Hasselt,R,Volwassene,
3500,Hasselt,HH,Volwassene,
3590,DIEPENBEEK,QQ,Volwassene,
3680,NEEROETEREN,T,Volwassene,
3550,HEUSDEN,M,Volwassene,
3550,HEUSDEN,M,Volwassene,
3630,MECHELEN-AAN-DE-MAAS,II,Volwassene,
3740,BILZEN,HH,Volwassene,
3600,Genk,II,Volwassene,
2490,BALEN,HH,Volwassene,
2490,Balen,HH,Volwassene,
3530,Houthalen,K,Volwassene,
3540,Schulen,J,Volwassene,
3650,Dilsen,GG,Volwassene,
3740,MUNSTERBILZEN,L,Volwassene,
3740,MUNSTERBILZEN,L,Volwassene,
3900,OVERPELT,J,Volwassene,
3720,Kortessem,JJ,Volwassene,
3500,Hasselt,KK,Volwassene,
3668,NIEL-BIJ-AS,KK,Volwassene,
3660,Oudsbergen,II,Volwassene,
3690,Zutendaal,KK,Volwassene,
3600,GENK,J,Volwassene,
3621,REKEM,BB,Volwassene,
3621,REKEM,BB,Volwassene,
3630,VUCHT,II,Volwassene,
3600,Genk,II,Volwassene,
3530,HELCHTEREN,HH,Volwassene,
3740,BILZEN,F,Volwassene,
3690,Zutendaal,II,Minder validen,
3511,KURINGEN,MM,Volwassene,
3630,LEUT,JJ,Minder validen,
3600,GENK,H,Volwassene,
3590,DIEPENBEEK,H,Volwassene,
3600,GENK,KK,Volwassene,
3740,Bilzen,JJ,Volwassene,
3600,GENK,KK,Volwassene,
3500,Hasselt,Z7,Volwassene,
3012,WILSELE,Z2,Volwassene,
3600,GENK,K,Volwassene,
3660,Oudsbergen,JJ,Volwassene,
3740,BILZEN,JJ,Volwassene,
2200,Noorderwijk,H,Volwassene,
3600,GENK,CL3,Scheids. +18,
3600,GENK,II,Volwassene,
3520,Zonhoven,L,Minder validen,
3510,SPALBEEK,J,Volwassene,
3620,LANAKEN,L,Volwassene,
3690,Zutendaal,LL,Volwassene,
3620,Lanaken,I,Volwassene,
3520,ZONHOVEN,KK,Volwassene,
3550,ZOLDER,KK,Volwassene,
3600,GENK,II,Volwassene,
3630,Mechelen-aan-de-maas,LL,Volwassene,
3740,MUNSTERBILZEN,QQ,Volwassene,
3600,GENK,KK,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,J,Volwassene,
3910,NEERPELT,J,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,J,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,J,Volwassene,
3910,Pelt,J,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,J,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,J,Volwassene,
3910,Sint-huibrechts-lille,J,Volwassene,
3910,NEERPELT,J,Volwassene,
3910,Sint-huibrechts-lille,J,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,J,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,J,Minder validen,
3910,SINT-HUIBRECHTS-LILLE,J,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,J,Minder validen,
3910,SINT-HUIBRECHTS-LILLE,J,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,J,Volwassene,
3600,GENK,J,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,S,Volwassene,
3600,GENK,J,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,S,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,S,Volwassene,
3910,NEERPELT,J,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,J,Volwassene,
3550,ZOLDER,SS,Volwassene,
3910,Sint-huibrechts-lille,J,Volwassene,
3910,Sint-huibrechts-lille,K,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,K,Minder validen,
3740,BILZEN,S,Volwassene,
3940,HECHTEL,FF,NA Volw.,
3210,LINDEN,JJ,Volwassene,
3660,Oudsbergen,II,Volwassene,
3600,GENK,KK,Volwassene,
3600,GENK,KK,Volwassene,
3600,GENK,KK,Volwassene,
3600,Genk,KK,Volwassene,
2860,Sint-Katelijne-waver,KK,Volwassene,
3511,STOKROOIE,MM,Volwassene,
3690,Zutendaal,R,Volwassene,
3500,HASSELT,LL,Volwassene,
3520,Zonhoven,C,Volwassene,
3600,GENK,KK,Volwassene,
3600,GENK,KK,Volwassene,
3600,GENK,M,Volwassene,
3660,Oudsbergen,M,Volwassene,
3600,GENK,M,Volwassene,
3290,DEURNE,J,Volwassene,
2280,Grobbendonk,J,Volwassene,
3660,Oudsbergen,HH,Volwassene,
3730,HOESELT,LL,Volwassene,
3730,HOESELT,LL,Volwassene,
3660,Oudsbergen,II,Minder validen,
3660,Oudsbergen,II,Volwassene,
3600,Genk,KK,Volwassene,
3500,Sint-lambrechts-herk,GG,Scheids. +18,
3540,BERBROEK,D,Volwassene,
3740,BILZEN,N,Volwassene,
3500,Hasselt,II,Volwassene,
3660,Oudsbergen,HH,Volwassene,
3660,Oudsbergen,HH,Volwassene,
3600,Genk,KK,Volwassene,
3600,Genk,KK,Volwassene,
3600,Genk,KK,Volwassene,
3600,Genk,LL,Volwassene,
3530,HOUTHALEN,M,Volwassene,
3600,GENK,K,Volwassene,
3600,GENK,K,Volwassene,
3746,HOELBEEK,J,Volwassene,
3990,Grote-brogel,II,Volwassene,
3560,LUMMEN,HH,Volwassene,
3560,Lummen,HH,Volwassene,
3640,Kinrooi,I,Volwassene,
3570,ALKEN,K,Volwassene,
3570,ALKEN,K,Volwassene,
3600,Genk,I,Volwassene,
1000,Brussel,JJ,Volwassene,
3590,DIEPENBEEK,J,Volwassene,
3270,SCHERPENHEUVEL,CL1,Volwassene,
3660,Oudsbergen,C,Volwassene,
3670,Oudsbergen,K,Volwassene,
3665,AS,K,Volwassene,
3721,VLIERMAALROOT,I,Volwassene,
3590,DIEPENBEEK,I,Volwassene,
3630,Maasmechelen,KK,Volwassene,
3740,EIGENBILZEN,J,Volwassene,
3600,GENK,J,Volwassene,
3740,EIGENBILZEN,J,Volwassene,
3740,EIGENBILZEN,J,Volwassene,
3630,VUCHT,II,Volwassene,
3660,Oudsbergen,II,Volwassene,
3631,Boorsem,M,NA Volw.,
3740,EIGENBILZEN,J,Volwassene,
3740,Bilzen,J,Volwassene,
3740,GROTE-SPOUWEN,J,Volwassene,
3620,LANAKEN,J,Volwassene,
3740,MUNSTERBILZEN,CC,Scheids. +18,
3660,Oudsbergen,II,Volwassene,
3665,AS,QQ,Volwassene,
3665,As,L,Volwassene,
3600,GENK,KK,Volwassene,
3600,Genk,KK,Volwassene,
3600,GENK,KK,Volwassene,
3650,LANKLAAR,C,Volwassene,
3680,Maaseik,J,Volwassene,
3680,Maaseik,J,Volwassene,
3680,MAASEIK,II,Volwassene,
3620,NEERHAREN,JJ,Volwassene,
3620,NEERHAREN,JJ,Volwassene,
3680,Maaseik,JJ,Volwassene,
3680,MAASEIK,JJ,Volwassene,
3600,Genk,KK,Volwassene,
3600,Genk,KK,Volwassene,
3550,ZOLDER,M,Volwassene,
3590,DIEPENBEEK,I,Volwassene,
3590,DIEPENBEEK,II,Volwassene,
3590,DIEPENBEEK,I,Volwassene,
3700,Tongeren,HH,Volwassene,
3590,Diepenbeek,HH,Volwassene,
3600,GENK,J,Volwassene,
3590,DIEPENBEEK,GG,Volwassene,
3950,BOCHOLT,JJ,Volwassene,
3950,BOCHOLT,JJ,Volwassene,
3530,HELCHTEREN,MM,Volwassene,
3600,GENK,QQ,Volwassene,
3600,Genk,FF,Volwassene,
3665,AS,QQ,Volwassene,
3530,Helchteren,LL,Volwassene,
3950,Bocholt,JJ,Volwassene,
3680,OPOETEREN,JJ,Volwassene,
3990,Grote Brogel,SS,Volwassene,
3640,Kinrooi,R,Volwassene,
3680,Maaseik,II,Volwassene,
3600,Genk,JJ,Volwassene,
3600,GENK,L,Volwassene,
3530,HOUTHALEN,L,Volwassene,
3600,GENK,L,Volwassene,
3600,GENK,L,Volwassene,
3600,GENK,LL,Volwassene,
3600,Genk,LL,Volwassene,
3600,GENK,K,Volwassene,
3600,GENK,K,Volwassene,
3600,Genk,H,Volwassene,
3680,Neeroeteren,H,Volwassene,
3690,Zutendaal,H,Volwassene,
3680,Opoeteren,Z7,Volwassene,
3630,Vucht,KK,Volwassene,
3930,Hamont,JJ,Volwassene,
3631,BOORSEM,RR,Volwassene,
3560,LINKHOUT,M,Volwassene,
2200,Herentals,JJ,Volwassene,
3600,GENK,Z3,Volwassene,
3980,Tessenderlo,CC,Volwassene,
3680,NEEROETEREN,MM,Volwassene,
3600,GENK,CC,Volwassene,
3600,GENK,LL,Volwassene,
3600,Genk,LL,Volwassene,
3220,KORTRIJK-DUTSEL,LL,Volwassene,
3630,Maasmechelen,R,Volwassene,
3520,ZONHOVEN,KK,Volwassene,
3520,ZONHOVEN,KK,Scheids. +18,
3840,BORGLOON,C,Volwassene,
3560,Lummen,H,Volwassene,
3560,LUMMEN,H,Volwassene,
3000,LEUVEN,JJ,Volwassene,
3620,LANAKEN,JJ,Volwassene,
3600,GENK,I,Volwassene,
3600,GENK,TT,Volwassene,
3530,HOUTHALEN,J,Volwassene,
3665,AS,J,Volwassene,
3680,MAASEIK,JJ,Minder validen,
3665,AS,JJ,Volwassene,
3511,KURINGEN,KK,Volwassene,
3600,GENK,LL,Volwassene,
3600,GENK,MM,Volwassene,
3582,KOERSEL,I,Volwassene,
3520,ZONHOVEN,D,Volwassene,
3620,Lanaken,KK,Volwassene,
3740,Bilzen,J,Volwassene,
3580,BERINGEN,M,Volwassene,
3050,Oud-heverlee,II,Volwassene,
3740,EIGENBILZEN,J,Volwassene,
3740,EIGENBILZEN,J,Volwassene,
3740,EIGENBILZEN,J,Volwassene,
3740,EIGENBILZEN,J,Volwassene,
3600,GENK,II,Volwassene,
3600,GENK,II,Volwassene,
3550,HEUSDEN,M,Volwassene,
3600,GENK,II,Volwassene,
2890,Sint Amands,K,Volwassene,
3740,BILZEN,F,Volwassene,
3600,GENK,UU,Volwassene,
3510,KERMT,MM,Volwassene,
3550,ZOLDER,H,Volwassene,
3530,HOUTHALEN,QQ,Volwassene,
3550,ZOLDER,H,Volwassene,
3690,ZUTENDAAL,MM,Volwassene,
3600,Genk,KK,Volwassene,
3600,Genk,MM,Volwassene,
3600,GENK,MM,Volwassene,
3600,GENK,MM,Volwassene,
3740,Bilzen,SS,Scheids. +18,
3600,Genk,LL,Volwassene,
3600,GENK,C,Volwassene,
3590,DIEPENBEEK,KK,Volwassene,
3600,GENK,DD,Volwassene,
3600,GENK,KK,Volwassene,
3600,GENK,KK,Volwassene,
3630,MAASMECHELEN,HH,Volwassene,
3530,HOUTHALEN,MM,Volwassene,
3600,Genk,QQ,Volwassene,
3520,ZONHOVEN,QQ,Volwassene,
3660,Oudsbergen,UU,Volwassene,
3600,Genk,H,Volwassene,
3600,GENK,JJ,Volwassene,
3650,ROTEM,JJ,Volwassene,
3600,Genk,H,Volwassene,
3680,OPOETEREN,KK,Volwassene,
3600,GENK,KK,Volwassene,
3670,Oudsbergen,KK,Volwassene,
3670,Oudsbergen,KK,Volwassene,
3930,HAMONT,MM,Volwassene,
3950,KAULILLE,MM,Volwassene,
3950,KAULILLE,MM,Volwassene,
3910,SINT-HUIBRECHTS-LILLE,MM,Volwassene,
3950,KAULILLE,MM,Volwassene,
3540,HERK-DE-STAD,I,Volwassene,
2200,HERENTALS,BB,Volwassene,
3680,MAASEIK,MM,Volwassene,
3680,NEEROETEREN,I,Volwassene,
3680,OPOETEREN,I,Volwassene,
3740,KLEINE-SPOUWEN,O,Volwassene,
3600,GENK,HH,Volwassene,
3600,Genk,HH,Volwassene,
3620,LANAKEN,J,Volwassene,
3740,BILZEN,LL,Volwassene,
3690,ZUTENDAAL,L,Volwassene,
3000,Leuven,II,Volwassene,
